id,name,description,selected_by,sortorder
33,Randy Bennett, swimming coach,5,118
34,Rolf Smedvig, classical trumpeter (Empire Brass),5,33
35,Ben E. King," soul and R&B singer (""Stand by Me"")",1,172
36,Grace Lee Whitney," actress (Star Trek, Irma la Douce, Some Like It Hot)",1,110
37,Ruth Rendell, crime novelist (Inspector Wexford),1,81
38,B.B. King," Hall of Fame blues guitarist singer and songwriter (""The Thrill Is Gone"")",1,107
39,Garo Yepremian, football player (Miami Dolphins),1,177
40,"John Forbes Nash, Jr.", mathematician laureate of the Nobel Prize in Economics (1994) subject of A Beautiful Mind,1,165
41,Beau Biden, politician Attorney General of Delaware (2007–2015),1,22
42,Charles Kennedy, politician Leader of the Liberal Democrats (1999–2006) MP (1983–2015),1,139
43,Tariq Aziz, politician Foreign Minister (1983–1991),1,186
44,Sir Christopher Lee, actor voice artist and singer (Dracula The Lord of the Rings Star Wars),1,159
45,Dusty Rhodes, professional wrestler booker (NWA WCW WWE) and promoter (TCW) Hall of Fame (2007 2010),3,83
46,Blaze Starr," stripper, burlesque comedian and club owner, subject of Blaze",1,70
47,Jeralean Talley," supercentenarian, world's oldest living person",1,178
48,James Horner, composer (Titanic Field of Dreams Apollo 13) Oscar winner (1998),3,176
49,Dick Van Patten, actor (Eight Is Enough Spaceballs Robin Hood: Men in Tights),1,127
50,Knut Helle, historian,4,39
51,Ken Stabler, football player (Oakland Raiders),1,21
52,Omar Sharif, actor (Lawrence of Arabia Doctor Zhivago Funny Girl),1,80
53,E. L. Doctorow, author (Ragtime Billy Bathgate The March),1,74
54,Ann Rule, true crime author (The Stranger Beside Me),1,103
55,A. P. J. Abdul Kalam, scientist and politician President of India (2002–2007),3,144
56,Billy Pierce, baseball player (Chicago White Sox Detroit Tigers San Francisco Giants),2,11
57,Roddy Piper," professional wrestler (WWE, NWA, WCW) and actor (They Live, Hell Comes to Frogtown, Body Slam), hypertension",1,183
58,Cilla Black," singer (""Anyone Who Had a Heart"" ""You're My World"" ""Step Inside Love"") and TV presenter (Blind Date Surprise Surprise The Moment of Truth)",3,136
59,Frank Gifford, Hall of Fame football player (New York Giants) and broadcaster (Monday Night Football),1,191
60,Bhalchandra Pendharkar, actor,5,180
61,Julian Bond, civil rights activist and politician chairman of the NAACP (1998–2010),1,153
62,Arthur Morris, Test cricketer,2,142
63,Darryl Dawkins, basketball player (Philadelphia 76ers New Jersey Nets),1,194
64,Roland Mqwebu, actor,5,98
65,Wayne Dyer, self-help author and motivational speaker,1,68
66,Wes Craven, film director writer and producer (A Nightmare on Elm Street Scream The Hills Have Eyes),1,58
67,Oliver Sacks, neurologist and author (The Man Who Mistook His Wife for a Hat Awakenings Hallucinations),1,29
68,Zhang Zhen, general,5,45
69,Gaylord Shaw, journalist,5,120
70,Moses Malone, Hall of Fame basketball player (Philadelphia 76ers Houston Rockets),1,9
71,Jackie Collins, novelist,1,37
72,Yogi Berra," Hall of Fame baseball player and manager (New York Yankees, New York Mets), member of 13 World Series championship teams",1,49
73,"Howard A. Anderson, Jr."," visual effects artist (Star Trek: The Original Series, Tobruk) and title designer (The Brady Bunch)",1,87
74,Guido Altarelli, theoretical physicist,5,72
75,Árpád Göncz," writer and politician, President (1990–2000)",2,173
76,Paul Prudhomme," chef, cookbook writer and restaurateur, recipient of the Order of Agricultural Merit (1980)",1,143
77,Maureen O'Hara," actress (How Green Was My Valley, Miracle on 34th Street, The Quiet Man)",1,158
78,Flip Saunders, basketball coach (Detroit Pistons Washington Wizards Minnesota Timberwolves),1,38
79,Fred Thompson, politician and actor (Law & Order Sinister Cape Fear) U.S. Senator from Tennessee (1994–2003) minority counsel to the Senate Watergate Committee,1,69
80,Gene Amdahl, computer architect and high-tech entrepreneur,1,137
81,Herbert Scarf, mathematician,2,151
82,Jim Perry, television emcee (Definition Card Sharks $ale of the Century),1,42
83,Sandy Berger, political consultant United States National Security Advisor (1997–2001),1,86
84,Scott Weiland, musician (Stone Temple Pilots Velvet Revolver The Wondergirls),1,24
85,Dick Wathika," politician, Mayor of Nairobi (2004–2008)",5,106
86,George Clayton Johnson, writer (Logan's Run Ocean's 11 The Twilight Zone),1,5
87,Lemmy, rock musician (Motörhead Hawkwind),1,181
88,Natalie Cole," Grammy-winning singer (""This Will Be"" ""Sophisticated Lady"" Unforgettable... with Love) and actress",1,2
89,Dale Bumpers," politician, Governor of Arkansas (1971–1975), Senator from Arkansas (1975–1999)",1,92
90,Mike Oxley, politician member of the United States House of Representatives from Ohio's 4th congressional district (1981–2007),1,20
91,Vilmos Zsigmond," cinematographer (Close Encounters of the Third Kind, The Deer Hunter, The Black Dahlia), Oscar winner (1978)",1,93
92,Nimr al-Nimr, Shia religious leader,1,147
93,Pierre Boulez, composer and conductor,2,43
94,David Bowie," singer-songwriter musician (""Space Oddity"" ""Heroes"" ""Starman"") and actor (Labyrinth Zoolander)",1,34
95,Robert Black, serial killer and kidnapper,2,14
96,Lawrence Phillips, football player (University of Nebraska St. Louis Rams) and convicted felon,1,195
97,Alan Rickman, actor (Harry Potter Die Hard Love Actually),1,189
98,Ted Marchibroda," football player (Pittsburgh Steelers, Chicago Cardinals) and coach (Baltimore Colts, Baltimore Ravens)",1,0
99,Glenn Frey, songwriter musician (Eagles) and actor (Jerry Maguire),1,175
100,LaVoy Finicum, cattle rancher and militant (Malheur National Wildlife Refuge Occupation),1,130
101,Abe Vigoda," actor (The Godfather, Barney Miller, Late Night with Conan O'Brien)",1,30
102,Buddy Cianci," politician and radio host, Mayor of Providence, Rhode Island (1975–1984, 1991–2002)",1,12
103,Jacques Rivette, film director (La Belle Noiseuse Celine and Julie Go Boating Out 1) and critic (Cahiers du cinéma),2,132
104,Sir Terry Wogan, broadcaster (BBC),1,167
105,Dave Mirra, BMX rider X Games winner (1997 1999 2000 2001 2002 2004 2005),1,187
106,Edgar Mitchell, astronaut (Apollo 14),1,161
107,Antonin Scalia," judge, Associate Justice of the Supreme Court (since 1986)",1,13
108,Boutros Boutros-Ghali, politician and diplomat Secretary-General of the United Nations (1992–1996),1,112
109,John Reinhardt," diplomat, United States Ambassador to Nigeria (1971–1975)",5,117
110,Umberto Eco, philosopher and novelist (The Name of the Rose Foucault's Pendulum Numero Zero),1,32
111,Harper Lee, author (To Kill a Mockingbird),1,192
112,B. K. Garudachar, cricket player,5,31
113,Don Battye, composer and television producer,5,44
114,Paul Webley, educator president of SOAS University of London (2006–2015),5,100
115,Pat Conroy, author (The Prince of Tides The Great Santini The Lords of Discipline),1,65
116,Paul Couch, football player (Geelong),1,108
117,"John Douglas, 21st Earl of Morton", aristocrat,5,48
118,Nancy Reagan, First Lady (1981–1989) and actress (Hellcats of the Navy Donovan's Brain The Next Voice You Hear...),1,54
119,Sir George Martin," Hall of Fame record producer (The Beatles), composer, arranger and engineer, six-time Grammy Award winner",3,77
120,Keith Emerson, progressive rock and rock keyboardist (The Nice; Emerson Lake & Palmer),1,179
121,Sylvia Anderson, television producer and voice actress (Thunderbirds),1,157
122,Thanh Tùng, songwriter,5,188
123,"Frank Sinatra, Jr.", singer (That Face!) and actor (Hollywood Homicide),1,141
124,Brian Smyth, Gaelic footballer and hurler (Meath),5,57
125,Lothar Späth, politician Minister President of Baden-Württemberg (1978–1991),1,63
126,Guido Westerwelle, politician Minister for Foreign Affairs (2009–2013) and Vice-Chancellor (2009–2011),1,79
127,Rob Ford, politician Mayor of Toronto (2010–2014),1,36
128,Phife Dawg, rap musician (A Tribe Called Quest),1,169
129,Joe Garagiola Sr.," baseball player (Cardinals, Cubs, Pirates) and Hall of Fame sportscaster (MLB GOTW), World Series champion (1946)",1,53
130,Ken Howard," actor (1776, The White Shadow, J. Edgar, Crossing Jordan), President of SAG/SAG-AFTRA (2009–2016), Emmy winner (1981, 2009)",1,199
131,Johan Cruyff, football player and manager (AFC Ajax FC Barcelona Feyenoord national team),1,8
132,"Earl Hamner, Jr.", television writer and producer (Falcon Crest The Waltons The Twilight Zone),1,163
133,Garry Shandling, comedian actor and writer (The Larry Sanders Show Iron Man 2 Over the Hedge),1,28
134,Mother Angelica," Poor Clare nun, founder of the Eternal Word Television Network",1,193
135,Patty Duke, actress (The Miracle Worker The Patty Duke Show Valley of the Dolls) President of SAG (1985–1988) Oscar winner (1962),1,10
136,Imre Kertész, writer laureate of the Nobel Prize in Literature (2002),1,50
137,Amber Rayne, pornographic actress,1,73
138,Merle Haggard," singer-songwriter (""Okie from Muskogee"" ""The Fightin' Side of Me"" ""Carolyn"") Grammy winner (1984 1998 1999)",1,160
139,Will Smith, football player (New Orleans Saints) Super Bowl champion (2010),1,129
140,Milt Pappas," baseball player (Baltimore Orioles, Cincinnati Reds, Chicago Cubs)",1,71
141,Chyna," professional wrestler (WWF) and actress (1 Night in China, 3rd Rock from the Sun, Cougar Club)",1,96
142,Lonnie Mack, singer-guitarist (The Wham of that Memphis Man),3,116
143,Prince," musician songwriter (""Purple Rain"" ""Little Red Corvette"") and actor Oscar (1984) and Grammy (1984 1986 2004 2007) winner",1,78
144,Conrad Burns," politician, Senator from Montana (1989–2007)",1,133
145,Solomon W. Golomb, mathematician and engineer,1,162
146,Thomas W. Libous, politician member of the New York State Senate (1989–2015),5,123
147,William Schallert," actor (The Patty Duke Show, The Many Loves of Dobie Gillis, In the Heat of the Night), President of SAG (1979–1981)",1,168
148,Tony Barrow, press officer (The Beatles),4,119
149,Morley Safer, journalist (60 Minutes),1,164
150,Muhammad Ali, boxer Olympic gold medalist (1960) three-time WBC world heavyweight champion (1964 1974 1978),1,198
151,Sir Peter Shaffer," playwright (Amadeus, Equus, Black Comedy) and screenwriter, Tony (1975, 1981) and Oscar winner (1985)",1,26
152,Kimbo Slice, mixed martial artist (Bellator UFC) boxer and actor (Merry Christmas Drake & Josh),1,102
153,Christina Grimmie, singer-songwriter (Find Me) and talent show participant (The Voice),1,111
154,Gordie Howe," Hall of Fame ice hockey player (Detroit Red Wings, Hartford Whalers)",1,6
155,George Voinovich," politician, Senator from Ohio (1999–2011), Governor of Ohio (1991–1998), Mayor of Cleveland (1980–1989)",1,150
156,Janet Waldo," actress and voice artist (The Jetsons, The Flintstones, Wacky Races)",1,104
157,Anton Yelchin, actor (Star Trek Alpha Dog Fright Night),1,109
158,Alvin Toffler," writer and futurist (Future Shock, The Third Wave)",1,97
159,Fabiane Niclotti," model, Miss Universo Brasil 2004",5,90
160,Buddy Ryan," football head coach (Philadelphia Eagles, Arizona Cardinals) and defensive coordinator (Chicago Bears, Houston Oilers)",1,61
161,Pat Summitt, basketball coach (Tennessee Lady Volunteers),1,51
162,Caroline Aherne, comedian actress and writer (The Royle Family The Mrs Merton Show The Fast Show),1,35
163,Michael Cimino," screenwriter and director (The Deer Hunter, Thunderbolt and Lightfoot, Heaven's Gate)",1,41
164,Clifford Vaughs," civil rights activist, filmmaker and motorcycle builder (Easy Rider)",4,4
165,Elie Wiesel," writer (Night), political activist and Holocaust survivor, Nobel Laureate (1986)",1,126
166,Abbas Kiarostami, film director and screenwriter (Close-Up Taste of Cherry Certified Copy),3,140
167,Antonín Rükl, astronomer,4,184
168,Qandeel Baloch, model and social media celebrity,1,154
169,Garry Marshall, director producer writer and actor (Happy Days Pretty Woman Murphy Brown),1,134
170,Marni Nixon, singer (The King and I West Side Story My Fair Lady) and actress (The Sound of Music),1,3
171,Tim LaHaye, Christian author (Left Behind),1,152
172,James M. Nederlander, Broadway theater owner and producer (Nederlander Organization),1,99
173,Miss Cleo (Youree Dell Harris), television psychic,1,59
174,John Saunders," sports journalist (ESPN, The Sports Reporters) and broadcaster (ESPN on ABC)",1,18
175,Kenny Baker," actor (Star Wars, Time Bandits, Flash Gordon)",1,89
176,João Havelange," football executive, President of FIFA (1974–1998)",1,55
177,John McLaughlin, political commentator and television personality (The McLaughlin Group),1,122
178,Nachum Heiman," composer, recipient of the Israel Prize (2009)",4,85
179,Ernst Nolte, historian,2,146
180,Lou Pearlman," record producer, music manager (Backstreet Boys, NSYNC) and convicted criminal",1,124
181,Toots Thielemans," jazz guitarist, whistler and harmonica player (Man Bites Harmonica!)",1,64
182,Steven Hill," actor (Mission: Impossible, Law & Order, The Firm)",5,40
183,Joy Browne, talk show host,1,76
184,Gene Wilder, actor (The Producers Willy Wonka & the Chocolate Factory Young Frankenstein) screenwriter and author,1,17
185,Islam Karimov, politician President (since 1990),1,62
186,Phyllis Schlafly, constitutional lawyer conservative activist and author,1,67
187,The Lady Chablis, actress (Midnight in the Garden of Good and Evil),1,88
188,Edward Albee," playwright (Who's Afraid of Virginia Woolf?, A Delicate Balance, The Goat, or Who Is Sylvia?), Tony (1963, 2002) and Pulitzer Prize winner (1967, 1975, 1994)",1,115
189,Shawty Lo, hip-hop musician (D4L),1,125
190,Buckwheat Zydeco, accordionist and bandleader,1,15
191,Arnold Palmer, Hall of Fame professional golfer,1,1
192,Shimon Peres, statesman President (2007–2014) Prime Minister (1977 1984–1986 1995–1996) Nobel Laureate (1994),1,105
193,Bhumibol Adulyadej," monarch, King (since 1946), world's longest-serving head of state",2,171
194,Dario Fo," playwright, Nobel Literature Prize laureate (1997)",1,25
195,Dennis Byrd, football player (New York Jets),1,84
196,Pete Burns, singer-songwriter (Dead or Alive),3,91
197,Jack Chick, cartoonist (Chick tracts) and fundamentalist Christian publisher,3,155
198,Harry Merlo, business and sports executive,4,170
199,Natalie Babbitt, children's author and illustrator (Tuck Everlasting),1,16
200,Barbara Atkinson, actress (Z-Cars),0,9999
201,Staryl C. Austin, air force brigadier general,0,9999
202,Ulrich Beck, sociologist,0,9999
203,Fiona Cumming, television director (Doctor Who),0,9999
204,Eric Cunningham," politician, Ontario MPP for Wentworth North (1975–1984)",0,9999
205,Donna Douglas, actress (The Beverly Hillbillies Frankie and Johnny The Twilight Zone),0,9999
206,Matthew Franjola, journalist (Associated Press) and photographer,0,9999
207,Jeff Golub, guitarist,0,9999
208,Omar Karami," politician, Prime Minister (1990–1992, 2004–2005)",0,9999
209,Bill Keating," football player (Denver Broncos, Miami Dolphins) and attorney",0,9999
210,Tore Helge Larsen, harness racer,0,9999
211,Géry Leuliet," Roman Catholic prelate, world's oldest Catholic bishop, Bishop of Amiens (1963–1985)",0,9999
212,Boris Morukov," physician and cosmonaut, STS-106 mission specialist",0,9999
213,Kjell Noreik, physician,0,9999
214,Mrunalini Devi Puar," educator, Chancellor of the Maharaja Sayajirao University of Baroda (since 1988)",0,9999
215,Ninón Sevilla, actress (Aventurera),0,9999
216,William Lloyd Standish," federal judge, District Court Judge for the Western District of Pennsylvania (1987–2002)",0,9999
217,Manasa Vaniqi," civil servant and lieutenant colonel, Permanent Secretary for Sugar (since 2009)",0,9999
218,Miller Williams, poet,0,9999
219,Per-Olof Åstrand, physiologist,0,9999
220,James A. Barlow," politician, member of the Wyoming House of Representatives (1983–1987)",0,9999
221,Charles Baur," politician, President of the Regional Council of Picardy (1976–1978, 1985–2004)",0,9999
222,Noel Cobb," philosopher, psychologist and author",0,9999
223,Little Jimmy Dickens," country music singer (""May the Bird of Paradise Fly Up Your Nose"")",0,9999
224,Baldina Di Vittorio, politician,0,9999
225,Danny Dunton, speedway rider and promoter,0,9999
226,Maurice Fontaine, politician,0,9999
227,Bob Gilmore, musicologist,0,9999
228,Vasant Gowarikar, scientist and ISRO chairman,0,9999
229,Basil Hansen, Olympic ice hockey player (1960),0,9999
230,Lloyd House," politician, member of the Arizona House of Representatives (1967–1968)",0,9999
231,Lam Pou-chuen, dubbing artist (Doraemon),0,9999
232,Abu Anas al-Libi, al-Qaeda member in United States custody,0,9999
233,John McQuilten," politician, member of the Victorian Legislative Council for Ballarat (1999–2006)",0,9999
234,Derek Minter, Grand Prix motorcycle and short-circuit road racer,0,9999
235,Arthur Neu," politician, Lieutenant Governor of Iowa (1973–1979), member of the Iowa Senate (1967–1973)",0,9999
236,Tihomir Novakov, physicist,0,9999
237,István Pásztor, Olympic cyclist (1952),0,9999
238,Arpád Račko, sculptor,0,9999
239,Vincent Cartledge Reddish," astronomer, Astronomer Royal for Scotland (1975–1980)",0,9999
240,Kristian Sundtoft, politician,0,9999
241,Jamal Uddin Ahmad," politician, Deputy Prime Minister (1977–1982)",0,9999
242,Daniel Albright, academic,0,9999
243,Martin Anderson, economist and political adviser,0,9999
244,Adunni Bankole, businesswoman,0,9999
245,Edward Brooke," politician, member of the U.S. Senate from Massachusetts (1967–1979)",0,9999
246,Bryan Caldwell, football player (Houston Oilers),0,9999
247,Paulinus Costa, Roman Catholic prelate Archbishop of Dhaka (2005–2011),0,9999
248,Maher Hathout, Islamic leader,0,9999
249,Bill Jessup, football player (San Francisco 49ers),0,9999
250,Rueben Philip Job," United Methodist prelate, Bishop of the Iowa Episcopal Area (1984–1992)",0,9999
251,Muath al-Kasasbeh, fighter pilot and ISIS hostage,0,9999
252,Roger Kitter, actor ('Allo 'Allo!) and entertainer,0,9999
253,Olga Knyazeva," fencer, Olympic champion (1976)",0,9999
254,Bernice Madigan," supercentenarian, world's fifth-oldest person",0,9999
255,Willy Ovesen, civil servant,0,9999
256,Terence Ranger, historian,0,9999
257,Jaime Romero Móran, gymnast,0,9999
258,Allie Sherman, football player (Philadelphia Eagles) and coach (New York Giants),0,9999
259,Jouko Törmänen," ski jumper, Olympic champion (1980)",0,9999
260,Chang Sung-hwan," general and diplomat, Chief of Staff of the Air Force (1962–1964)",0,9999
261,Elisabetta Catalano, fine-art photographer,0,9999
262,Pino Daniele, singer and songwriter,0,9999
263,Chitresh Das, dancer instructor and choreographer,0,9999
264,Al Delugach, Pulitzer Prize-winning reporter,0,9999
265,Lance Diamond, singer,0,9999
266,Jay Furman, real estate developer,0,9999
267,He Zhenliang, politician and diplomat,0,9999
268,Gene Kemp, children's author (The Turbulent Term of Tyke Tiler),0,9999
269,Haroldo Lara," Olympic swimmer (1952, 1956)",0,9999
270,Azizullah Lodin, politician,0,9999
271,Gasan Magomedov, footballer (Anzhi-2),0,9999
272,John McPhee," footballer (Blackpool, Motherwell)",0,9999
273,Stu Miller," baseball player (San Francisco Giants, Baltimore Orioles)",0,9999
274,Juan Isidro Moreno, poet,0,9999
275,Hasan Hazer Moshar, artist,0,9999
276,Jack Parr, basketball player (Cincinnati Royals),0,9999
277,Natalino Pescarolo," Roman Catholic prelate, Bishop of Fossano (1992–2005) and Cuneo (1999–2005)",0,9999
278,Hank Peters, baseball executive (Baltimore Orioles),0,9999
279,Ahuti Prasad, actor,0,9999
280,Ives Roqueta, Occitan author,0,9999
281,Eli Sagan," clothing manufacturer, cultural anthropology author and Nixon Enemy",0,9999
282,Michele Serros, novelist and poet,0,9999
283,Upendra Trivedi, actor and director,0,9999
284,Richard D. Veltri," politician, member of the Connecticut House of Representatives",0,9999
285,René Vautier, film director (Avoir 20 ans dans les Aurès),0,9999
286,Bernard Williams, film producer (A Clockwork Orange Daredevil Flash Gordon),0,9999
287,Edmund Wnuk-Lipiński, academic,0,9999
288,János Zsombolyai," cinematographer, film director and screenwriter",0,9999
289,Joy Ali, middleweight boxer,0,9999
290,Jean-Pierre Beltoise, Formula One racing driver winner of the 1972 Monaco Grand Prix,0,9999
291,Al Bendich, civil rights attorney,0,9999
292,Khan Bonfils," actor (Star Wars: Episode I – The Phantom Menace, Batman Begins, Skyfall)",0,9999
293,Jim Burton, ice hockey player (Hershey Bears) and coach,0,9999
294,Jack Calmes," inventor, executive and musician",0,9999
295,Eylül Cansın, transgender woman,0,9999
296,Bobby Carter," politician, member of the Tennessee Senate (1995–2002)",0,9999
297,"William R. Catton, Jr.", environmental sociologist,0,9999
298,Arthur E. Chase," politician, member of the Massachusetts Senate (1991–1995)",0,9999
299,Albert Firth, rugby league player (Wakefield Trinity),0,9999
300,Antonio Fuertes," footballer (Valencia, Elche)",0,9999
301,Vadim Glovatsky, ice hockey player (Metallurg Magnitogorsk),0,9999
302,Joe Haines," politician, member of the Ohio House of Representatives (1981–1999)",0,9999
303,Ken Hale, football player and manager,0,9999
304,Niels Hansen, diplomat,0,9999
305,Milton Hebald, sculptor,0,9999
306,Dan Held, ice hockey player,0,9999
307,Martin Joseph, politician Minister of National Security (2003–2010),0,9999
308,Mustafa Kamal, judge Chief Justice (1999),0,9999
309,Anthony Ledwith, chemist,0,9999
310,Earl MacNaughton, physicist,0,9999
311,Bernard Joseph McLaughlin," Roman Catholic prelate, Auxiliary Bishop of Buffalo (1968–1988)",0,9999
312,Harold Murphy," politician, member of the Illinois House of Representatives (1993–2003)",0,9999
313,Ganesh Patro, playwright and screenwriter,0,9999
314,Alfons Peeters, footballer,0,9999
315,Joan Peters, author (From Time Immemorial),0,9999
316,King Sporty, reggae musician,0,9999
317,Geoff Truett, footballer (Crystal Palace),0,9999
318,Anton Amann, chemist,0,9999
319,Else M. Barth, philosopher,0,9999
320,Vlastimil Bubník," ice hockey player and footballer, Olympic bronze medalist (1964)",0,9999
321,Buffalo Tiger," politician, Chairman of the Miccosukee Tribe of Indians of Florida (1962–1985)",0,9999
322,Joseph Djida," Roman Catholic prelate, Bishop of Ngaoundéré (since 2000)",0,9999
323,Johannes de Villiers Graaff, economist,0,9999
324,Lawrence Gushee, musicologist,0,9999
325,Jean Hendriks," politician, member of the Senate (1981–1991)",0,9999
326,Francesca Hilton, actress and socialite,0,9999
327,Ron Hovey, football player (Geelong),0,9999
328,Arthur Jackson, sports shooter,0,9999
329,Sir Basil John Mason, meteorologist,0,9999
330,George H. McKee, air force lieutenant general,0,9999
331,Lance Percival," actor (That Was the Week That Was, The Beatles) and singer (""Shame and Scandal in the Family"")",0,9999
332,Gilberto Perez, professor of film studies,0,9999
333,Sanford E. Reisenbach, marketing executive (Warner Bros.),0,9999
334,Patricia Roppel, historian and teacher specialist in the history of Southeast Alaska,0,9999
335,Alexandru Segal, economist and chess player,0,9999
336,Subhas Anandan, lawyer,0,9999
337,José Arias, Olympic alpine skier (1948),0,9999
338,Ricardo Bueno Fernández," politician, member of the Senate (1977–1979, 1993–2000) and Congress of Deputies (2000–2004)",0,9999
339,Gilbert Finn," businessman, Lieutenant Governor of New Brunswick (1987–1994)",0,9999
340,Michael Fisher, solicitor,0,9999
341,Tadeusz Konwicki, writer and filmmaker,0,9999
342,Mompati Merafhe," general and politician, Vice President (2008–2012)",0,9999
343,"Arch A. Moore, Jr."," politician, Governor of West Virginia (1969–1977, 1985–1989)",0,9999
344,J. P. Parisé, ice hockey player (Minnesota North Stars),0,9999
345,Jethro Pugh, football player (Dallas Cowboys),0,9999
346,Archie Radebe, footballer (AmaZulu) and coach,0,9999
347,B. S. Abdur Rahman, business executive and philanthropist (B. S. Abdur Rahman University),0,9999
348,Tim Roberts," professional wrestler (WWC, NWS, ECW)",0,9999
349,David Rolfe, Paralympic swimmer,0,9999
350,Julio Scherer García, journalist,0,9999
351,Herb Simpson, baseball player (Seattle Steelheads),0,9999
352,Rod Taylor, actor (The Time Machine The Birds 101 Dalmatians Inglorious Basterds),0,9999
353,Nancy Thomas, television producer (Monitor),0,9999
354,Cabu,cartoonist,0,9999
355,Elsa Cayat,psychoanalyst and columnist,0,9999
356,Philippe Honoré,cartoonist,0,9999
357,Bernard Maris,economist and journalist,0,9999
358,Mustapha Ourrad, copyeditor,0,9999
359,Tignous,cartoonist,0,9999
360,Georges Wolinski,cartoonist,0,9999
361,Andraé Crouch, gospel singer,0,9999
362,Kep Enderby," politician and judge, MP (1970–1975), Supreme Court Justice of New South Wales (1982–1992)",0,9999
363,Patsy Garrett," singer and actress (Benji, Nanny and the Professor, Room 222)",0,9999
364,Jean-Claude Gasigwa, tennis player (Davis Cup team),0,9999
365,Peter Hill, footballer (Coventry City),0,9999
366,Jenő Lasztovicza," politician, MP (since 1998)",0,9999
367,Curtis Lee," singer (""Pretty Little Angel Eyes"")",0,9999
368,Hubert Markl, biologist,0,9999
369,Ray McFall, nightclub owner (The Cavern Club),0,9999
370,Roy McKie, illustrator,0,9999
371,Richard Meade, equestrian three-time Olympic champion,0,9999
372,Leif Rantala, linguist,0,9999
373,Erbey Satterfield," politician, member of the Utah House of Representatives",0,9999
374,Egil Toreng, newspaper editor and politician,0,9999
375,Nelson Townsend, athletic director (Florida A&M),0,9999
376,Angelo Anquilletti," footballer (A.C. Milan, national team)",0,9999
377,Jasodhara Bagchi, feminist critic and academic,0,9999
378,Amedy Coulibaly, jihadist,0,9999
379,Harry A. DeMaso," politician, member of the Michigan Senate (1967–1986)",0,9999
380,Ah Chew Goo, basketball player and coach (University of Hawaii),0,9999
381,Michel Jeury, science fiction author,0,9999
382,Robert V. Keeley, diplomat Ambassador to Mauritius (1976–1978) Zimbabwe (1980–1984) and Greece (1985–1989),0,9999
383,Sarah Kemp, actress (Sons and Daughters),0,9999
384,Chuck Locke, baseball player (Baltimore Orioles),0,9999
385,Frans Molenaar, fashion designer,0,9999
386,Józef Oleksy, politician Prime Minister (1995–1996),0,9999
387,Bud Paxson," media executive, co-founder of the Home Shopping Network, founder of Pax TV",0,9999
388,Peder Pedersen, Olympic cyclist,0,9999
389,Abdul Rahman Ya'kub," politician, Chief Minister of Sarawak (1970–1981)",0,9999
390,Whitney Reed, tennis player,0,9999
391,James L. Reveal, botanist,0,9999
392,Robert Scott, author,0,9999
393,Iqbal Sheikh, cricketer,0,9999
394,Bud Sherman," politician, member of the Legislative Assembly of Manitoba (1969–1984), member of the House of Commons (1965–1968)",0,9999
395,Paul M. Starnes," politician, member of the Tennessee House of Representatives (1972–1990)",0,9999
396,Roy Tarpley, basketball player (Dallas Mavericks),0,9999
397,Christian Vanneque, sommelier and restaurateur,0,9999
398,John Angus," children's rights advocate, Children's Commissioner (2009–2011)",0,9999
399,Jorgelina Aranda, model and actress (Il Gaucho),0,9999
